Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_sequence_quality_scores
SRR14862052_1	pass	0.0	warn	39.9991731	Sanger / Illumina 1.9	pass	1 Gbp	39-40	Conventional base calls	pass	pass	warn	26918612.0	pass	warn	warn	46.0	58.7625553503	SRR14862052_1_trimmed.fq.gz	pass
SRR14862052_1_unpaired	pass	0.0	pass	39.9975666611	Sanger / Illumina 1.9	pass	10.9 Mbp	35-40	Conventional base calls	pass	pass	warn	273698.0	pass	warn	warn	45.0	91.3773315764	SRR14862052_1_unpaired.fq.gz	pass
SRR14862052_2	pass	0.0	warn	39.9999479914	Sanger / Illumina 1.9	pass	1 Gbp	35-40	Conventional base calls	pass	warn	warn	26918612.0	pass	fail	warn	46.0	58.3598276649	SRR14862052_2_trimmed.fq.gz	pass
SRR14862052_2_unpaired	fail	0.0	pass	40.0	Sanger / Illumina 1.9	pass	389.6 kbp	40.0	Conventional base calls	pass	fail	pass	9740.0	pass	fail	fail	48.0	87.4435318275	SRR14862052_2_unpaired.fq.gz	pass
SRR14862053_1	pass	0.0	warn	39.9991241314	Sanger / Illumina 1.9	pass	1.2 Gbp	39-40	Conventional base calls	pass	pass	warn	31294648.0	pass	warn	warn	45.0	61.3439509831	SRR14862053_1_trimmed.fq.gz	pass
SRR14862053_1_unpaired	pass	0.0	pass	39.9972511977	Sanger / Illumina 1.9	pass	12.3 Mbp	35-40	Conventional base calls	pass	pass	warn	308498.0	pass	warn	warn	45.0	92.464551872	SRR14862053_1_unpaired.fq.gz	pass
SRR14862053_2	pass	0.0	warn	39.9999487452	Sanger / Illumina 1.9	pass	1.2 Gbp	35-40	Conventional base calls	pass	warn	warn	31294648.0	pass	fail	warn	45.0	60.941498955	SRR14862053_2_trimmed.fq.gz	pass
SRR14862053_2_unpaired	fail	0.0	pass	40.0	Sanger / Illumina 1.9	pass	435.2 kbp	40.0	Conventional base calls	pass	fail	pass	10881.0	pass	fail	fail	46.0	88.5580369451	SRR14862053_2_unpaired.fq.gz	pass
SRR14862054_1	pass	0.0	warn	39.9991124359	Sanger / Illumina 1.9	pass	1.4 Gbp	39-40	Conventional base calls	pass	warn	warn	36258791.0	pass	warn	warn	45.0	61.0151633034	SRR14862054_1_trimmed.fq.gz	pass
SRR14862054_1_unpaired	pass	0.0	pass	39.9977354327	Sanger / Illumina 1.9	pass	14.5 Mbp	35-40	Conventional base calls	pass	pass	warn	364308.0	pass	warn	warn	45.0	91.9159503517	SRR14862054_1_unpaired.fq.gz	pass
SRR14862054_2	pass	0.0	warn	39.9999497777	Sanger / Illumina 1.9	pass	1.4 Gbp	35-40	Conventional base calls	pass	warn	warn	36258791.0	pass	fail	warn	46.0	60.2601625928	SRR14862054_2_trimmed.fq.gz	pass
SRR14862054_2_unpaired	warn	0.0	pass	40.0	Sanger / Illumina 1.9	pass	474 kbp	40.0	Conventional base calls	pass	fail	pass	11851.0	pass	fail	fail	46.0	91.3087503164	SRR14862054_2_unpaired.fq.gz	pass
SRR14862055_1	pass	0.0	warn	39.9991180304	Sanger / Illumina 1.9	pass	1.2 Gbp	39-40	Conventional base calls	pass	warn	warn	31646215.0	pass	warn	warn	45.0	60.2150674803	SRR14862055_1_trimmed.fq.gz	pass
SRR14862055_1_unpaired	pass	0.0	pass	39.9977594672	Sanger / Illumina 1.9	pass	13 Mbp	35-40	Conventional base calls	pass	warn	warn	326708.0	pass	warn	warn	45.0	92.0848554866	SRR14862055_1_unpaired.fq.gz	pass
