Sample	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc
SRR14862052_1	0.0	40.0	41.3058469782	27239879.0	46.0
SRR14862052_2	10.0	40.0	41.6347327219	27239879.0	46.0
SRR14862053_1	0.0	40.0	38.8007766113	31653307.0	45.0
SRR14862053_2	10.0	40.0	39.1127714713	31653307.0	45.0
SRR14862054_1	0.0	40.0	39.0740868335	36672312.0	45.0
SRR14862054_2	10.0	40.0	39.773382908	36672312.0	46.0
SRR14862055_1	0.0	40.0	39.8899031199	32018300.0	45.0
SRR14862055_2	10.0	40.0	40.0214382124	32018300.0	46.0
SRR14862056_1	0.0	40.0	41.6052768045	32242011.0	44.0
SRR14862056_2	10.0	40.0	42.3144978516	32242011.0	45.0
SRR14862057_1	0.0	40.0	36.5986753659	33288452.0	43.0
SRR14862057_2	10.0	40.0	37.02887476	33288452.0	43.0
SRR14862058_1	0.0	40.0	45.7389140112	33278246.0	45.0
SRR14862058_2	10.0	40.0	46.4898843654	33278246.0	46.0
SRR14862059_1	0.0	40.0	40.5305998736	32135159.0	45.0
SRR14862059_2	10.0	40.0	40.9763335181	32135159.0	46.0
SRR14862060_1	0.0	40.0	36.6292610842	31621765.0	45.0
SRR14862060_2	10.0	40.0	37.116245876	31621765.0	45.0
